"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda365","hedase365","hedtl","hedtlm","N2_12","heda_12","hedase_12","heda365_12","hedase365_12","hedtlm_12","hedalc","hedact","N3","ddla","ddlase"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","15","19","1412","365","56.8209255533199","0.99363669068573","365","6.43863179074447","0.492358999308702","36.2173038229376","0.964153758096616","918","36.9416498993964","0.968202610422529","65.014164305949","1.26920790978771","365","1","407","16.3782696177062","0.742387048390423","28.8243626062323","1.20539168253893","12","54.4","total","1381","0.538075049844762","0.0103333644417424"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","15","19","1412","365","56.8209255533199","0.99363669068573","365","6.43863179074447","0.492358999308702","36.2173038229376","0.964153758096616","689","27.7263581488934","0.897993488454842","48.7960339943343","1.33022992800942","365","1","239","9.61770623742455","0.591444825898168","16.9263456090652","0.997920424520376","12","68","total","1381","0.538075049844762","0.0103333644417424"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","20","24","2189","365","83.5496183206107","0.724285146533506","365","6.22137404580153","0.471893986979569","9.16030534351145","0.563562597823832","1733","66.1450381679389","0.924504765830981","79.168570123344","0.867986679462235","365","1","950","36.2595419847328","0.939221663617623","43.3988122430333","1.0593240042169","12","54.4","total","2155","0.521972348472809","0.0090282296546054"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","20","24","2189","365","83.5496183206107","0.724285146533506","365","6.22137404580153","0.471893986979569","9.16030534351145","0.563562597823832","1445","55.1526717557252","0.971630009565211","66.0118775696665","1.01239909664072","365","1","658","25.1145038167939","0.847247920067911","30.0593878483326","0.980013142390683","12","68","total","2155","0.521972348472809","0.0090282296546054"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","25","29","201","365","81.0483870967742","2.48868217061281","365","10.8870967741935","1.9778825445091","8.06451612903226","1.72903944117662","151","60.8870967741936","3.09882334838131","75.1243781094527","3.0491542132182","365","1","91","36.6935483870968","3.06050435008826","45.273631840796","3.51093632110638","12","54.4","total","197","0.503297406299979","0.0382004911551072"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","25","29","201","365","81.0483870967742","2.48868217061281","365","10.8870967741935","1.9778825445091","8.06451612903226","1.72903944117662","126","50.8064516129032","3.17459016645993","62.6865671641791","3.41131495458088","365","1","58","23.3870967741935","2.68790104426587","28.8557213930348","3.19586134901758","12","68","total","197","0.503297406299979","0.0382004911551072"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","30","34","155","365","77.8894472361809","2.94179613276228","365","10.5527638190955","2.17791052610946","9.54773869346734","2.08321185531154","109","54.7738693467337","3.52821375754022","70.3225806451613","3.66939629025997","365","1","43","21.608040201005","2.91754062703732","27.741935483871","3.59621536187773","12","54.4","total","153","0.414490106544901","0.0242671718932564"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","30","34","155","365","77.8894472361809","2.94179613276228","365","10.5527638190955","2.17791052610946","9.54773869346734","2.08321185531154","83","41.7085427135678","3.49533194523399","53.5483870967742","4.00597050301691","365","1","26","13.0653266331658","2.38907679998099","16.7741935483871","3.00112429001679","12","68","total","153","0.414490106544901","0.0242671718932564"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","35","39","183","365","74.390243902439","2.78287153735359","365","16.6666666666667","2.37610811880084","8.13008130081301","1.74247500375566","122","49.5934959349593","3.18777820685792","66.6666666666667","3.48472248992878","365","1","47","19.1056910569106","2.50652942043047","25.6830601092896","3.22954803580662","12","54.4","total","179","0.460653554756256","0.0282345221520712"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","35","39","183","365","74.390243902439","2.78287153735359","365","16.6666666666667","2.37610811880084","8.13008130081301","1.74247500375566","97","39.4308943089431","3.11584855456827","53.0054644808743","3.68942306213908","365","1","31","12.6016260162602","2.11591109685786","16.9398907103825","2.77284763548406","12","68","total","179","0.460653554756256","0.0282345221520712"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","40","44","259","365","75.2906976744186","2.32552857903789","365","12.7906976744186","1.80073290993337","11.046511627907","1.69010951864521","178","51.7441860465116","2.69417859458515","68.7258687258687","2.88073205012877","365","1","82","23.8372093023256","2.29731161316728","31.6602316602317","2.89030659102626","12","54.4","total","257","0.418851873567507","0.0241580775182276"
"Canada","CAN","124","CTADS","CATI interview","non-households","unknwon","SDA@CHASS - UofT","2017","female","40","44","259","365","75.2906976744186","2.32552857903789","365","12.7906976744186","1.80073290993337","11.046511627907","1.69010951864521","131","38.0813953488372","2.61810937419725","50.5791505791506","3.10664040603044","365","1","40","11.6279069767442","1.72833977082475","15.4440154440154","2.24544492273339","12","68","total","257","0.418851873567507","0.0241580775182276"
