"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda30","hedase30","hedtl","hedtlm","hedalc","hedact","N3","ddla","ddlase"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","40","44","0","30","0","0","30","1.52284263959391","0.872493405366626","98.4771573604061","0.872493405366627","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","50","54","0","365","0","0","365","0.78740157480315","0.784295442084742","99.2125984251969","0.784295442084742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","50","54","0","30","0","0","30","0.78740157480315","0.784295442084742","99.2125984251969","0.784295442084742","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","55","59","1","365","50","35.3553390593274","365","0.793650793650794","0.790495111993647","98.4126984126984","1.1134482133527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","55","59","0","30","0","0","30","0.793650793650794","0.790495111993647","98.4126984126984","1.1134482133527","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","60","64","0","365","0","0","365","0.769230769230769","0.766266477783653","99.2307692307692","0.766266477783652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","60","64","0","30","0","0","30","0.769230769230769","0.766266477783653","99.2307692307692","0.766266477783652","0","0","0",NA,NA,"30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","65","69","1","365","12.5","11.6926793336686","365","4.04624277456647","1.49807621696164","95.3757225433526","1.59667972629889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","65","69","1","30","12.5","11.6926793336686","30","4.04624277456647","1.49807621696164","95.3757225433526","1.59667972629889","1","12.5","11.6926793336686","100","0","30","1","60","total",NA,NA,NA
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","15","70","16","365","39.0243902439024","7.61823228724908","365","1.24501992031873","0.247449054507457","97.9581673306773","0.315608394228273",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","2.14285714285714","0.723224492056795"
"Afghanistan","AFG","4","STEPS","face-to-face","unknown","unknwon","WHO STEPS - CAMH","2018","male","15","70","7","30","17.0731707317073","5.87641817722141","30","1.24501992031873","0.247449054507457","97.9581673306773","0.315608394228273","4","9.75609756097561","4.63398979039868","57.1428571428571","18.7043905916565","30","1","60","total","7","2.14285714285714","0.723224492056795"
