"country","iso3a","iso3n","data","method","populex","resprate","ref","year","sex","agemin","agemax","N1","cdtl","cda","cdase","fdtl","fda","fdase","laa","laase","N2","heda","hedase","heda365","hedase365","hedtl","hedtlm","N2_12","heda_12","hedase_12","heda365_12","hedase365_12","hedtlm_12","hedalc","hedact","N3","ddla","ddlase"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","15","19","43","365","89.5833333333333","4.40917538166677",NA,NA,NA,NA,NA,"33","68.75","6.69022530138809","76.7441860465116","6.44249791349123","365","1","24","50","7.21687836487032","55.8139534883721","7.57320543611219","12","60","total","43","6.9366040140172","1.30681063727638"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","20","24","60","365","88.2352941176471","3.90712449502983",NA,NA,NA,NA,NA,"44","64.7058823529412","5.79520215378693","73.3333333333333","5.7089922571845","365","1","25","36.7647058823529","5.84710459973866","41.6666666666667","6.36468846521645","12","60","total","58","6.03684459140293","1.19377193810586"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","25","29","87","365","89.6907216494845","3.08746487094359",NA,NA,NA,NA,NA,"63","64.9484536082474","4.84453537899889","72.4137931034483","4.79178161227346","365","1","24","24.7422680412371","4.38136515031617","27.5862068965517","4.79178161227346","12","60","total","86","4.36763300414145","0.59991269890446"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","30","34","118","365","83.0985915492958","3.14495262672049",NA,NA,NA,NA,NA,"68","47.887323943662","4.19215951600276","57.6271186440678","4.54900534964468","365","1","22","15.4929577464789","3.03647316140876","18.6440677966102","3.58528716157948","12","60","total","117","3.32958669944971","0.414860430716608"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","35","39","152","365","83.5164835164835","2.75027004936727",NA,NA,NA,NA,NA,"85","46.7032967032967","3.69818172383291","55.921052631579","4.02699863400157","365","1","33","18.1318681318681","2.85590016912679","21.7105263157895","3.34399075982256","12","60","total","151","4.97514288306269","0.609758022883202"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","40","44","152","365","92.1212121212121","2.09733379005541",NA,NA,NA,NA,NA,"82","49.6969696969697","3.8924232326448","53.9473684210526","4.04287733205318","365","1","24","14.5454545454545","2.74466447318669","15.7894736842105","2.95763940499482","12","60","total","152","5.93150684931507","0.830120761598911"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","45","49","142","365","87.1165644171779","2.62405185431692",NA,NA,NA,NA,NA,"77","47.239263803681","3.91032794480414","54.2253521126761","4.1808975378499","365","1","29","17.7914110429448","2.99550460470051","20.4225352112676","3.38302887110879","12","60","total","141","6.02914602156806","0.68252919887374"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","50","54","146","365","86.9047619047619","2.60269840370943",NA,NA,NA,NA,NA,"66","39.2857142857143","3.76797602739873","45.2054794520548","4.11896097810432","365","1","23","13.6904761904762","2.65206397691544","15.7534246575342","3.01499912232525","12","60","total","145","5.98809636277752","0.773923230907802"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","55","59","108","365","82.4427480916031","3.324059984514",NA,NA,NA,NA,NA,"37","28.2442748091603","3.93330700305867","34.2592592592593","4.56661504526053","365","1","15","11.4503816793893","2.78206761396375","13.8888888888889","3.32775596494565","12","60","total","108","6.32864028411974","0.806716395303864"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","60","64","106","365","77.9411764705882","3.5555369593646",NA,NA,NA,NA,NA,"36","26.4705882352941","3.7830570252024","33.9622641509434","4.59982672852076","365","1","13","9.55882352941176","2.52124975673646","12.2641509433962","3.18606295164746","12","60","total","106","6.67769449470147","0.863445990457462"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","65","69","63","365","74.1176470588235","4.75065209189102",NA,NA,NA,NA,NA,"10","11.7647058823529","3.4946383869765","15.8730158730159","4.60391302580229","365","1","3","3.52941176470588","2.00142428422345","4.76190476190476","2.68302938009053","12","60","total","60","6.87762557077626","1.12804267401714"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","70","74","45","365","72.5806451612903","5.66556443690371",NA,NA,NA,NA,NA,"8","12.9032258064516","4.25749688771671","17.7777777777778","5.69937305531003","365","1","2","3.2258064516129","2.24389788271049","4.44444444444444","3.07206538567818","12","60","total","45","11.4146118721461","4.69015868146145"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","75","79","25","365","67.5675675675676","7.69587564123648",NA,NA,NA,NA,NA,"4","10.8108108108108","5.10486638704343","16","7.33212111192934","365","1","0","0","0","0","0","12","60","total","25","5.48767123287671","1.44428913362941"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","80","84","17","365","53.125","8.82155452393454",NA,NA,NA,NA,NA,"1","3.125","3.07578432578586","5.88235294117647","5.70672058909019","365","1","0","0","0","0","0","12","60","total","16","6.34417808219178","1.68671337037668"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","85","89","10","365","55.5555555555556","11.7121394821051",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total","10","7.74657534246575","2.4194840713108"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","90","94","2","365","50","25",NA,NA,NA,NA,NA,"0","0","0","0","0","365","1","0","0","0","0","0","12","60","total","2","1.36986301369863","1.12328767123288"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","female","15","98","1276","365","82.96488946684","0.958608950470075",NA,NA,NA,NA,NA,"614","39.9219765929779","1.24877923333429","48.1191222570533","1.39874056060813","365","1","237","15.4096228868661","0.920615575130259","18.5736677115987","1.08869426511711","12","60","total","1265","5.86668471492772","0.282702305946905"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","15","19","28","365","96.551724137931","3.38830127200357",NA,NA,NA,NA,NA,"23","79.3103448275862","7.52215964515325","82.1428571428571","7.23788824444444","365","1","19","65.5172413793103","8.82632273954608","67.8571428571429","8.82594076122765","12","60","total","27","13.4094368340944","3.14024164215621"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","20","24","70","365","92.1052631578947","3.0931733288265",NA,NA,NA,NA,NA,"58","76.3157894736842","4.87674290622112","82.8571428571429","4.50461376696209","365","1","38","50","5.73539334676404","54.2857142857143","5.9541493971626","12","60","total","70","14.3254403131115","2.77790651851064"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","25","29","54","365","87.0967741935484","4.25749688771671",NA,NA,NA,NA,NA,"42","67.741935483871","5.93679576507634","77.7777777777778","5.65750085797017","365","1","29","46.7741935483871","6.33677715574409","53.7037037037037","6.78544545178648","12","60","total","52","16.5142255005269","3.65737633026983"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","30","34","76","365","91.566265060241","3.05027276864777",NA,NA,NA,NA,NA,"57","68.6746987951807","5.09104532181618","75","4.96699633899391","365","1","32","38.5542168674699","5.34248041359777","42.1052631578947","5.66344828262074","12","60","total","76","14.8698630136986","3.30463372801561"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","35","39","95","365","92.2330097087379","2.63724792370456",NA,NA,NA,NA,NA,"74","71.8446601941748","4.43158436788907","77.8947368421053","4.25735729310504","365","1","40","38.8349514563107","4.80224633017712","42.1052631578947","5.06554213879777","12","60","total","95","12.7118961788032","1.80383421193945"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","40","44","91","365","91.9191919191919","2.73913159733053",NA,NA,NA,NA,NA,"76","76.7676767676768","4.24441579716265","83.5164835164835","3.88946920400371","365","1","48","48.4848484848485","5.02288129703484","52.7472527472528","5.23350638069097","12","60","total","90","15.5356164383562","2.64467420410082"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","45","49","101","365","83.4710743801653","3.37674005322979",NA,NA,NA,NA,NA,"72","59.504132231405","4.46258224039594","71.2871287128713","4.50176879556572","365","1","45","37.1900826446281","4.39374651155926","44.5544554455446","4.94559114037712","12","60","total","98","12.6019010343864","1.66235720164511"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","50","54","101","365","90.990990990991","2.71754171102112",NA,NA,NA,NA,NA,"73","65.7657657657658","4.50369280893894","72.2772277227723","4.45408381416886","365","1","52","46.8468468468468","4.73634369300974","51.4851485148515","4.97299074694458","12","60","total","99","13.570499515705","1.56583675923178"
"Australia","AUS","36","GENACIS-GENAHTO team’","Computer Assisted Telephone Interviewing","unknown","0.35","CAMH/GMEL","2008.0","male","55","59","101","365","90.1785714285714","2.81209504697245",NA,NA,NA,NA,NA,"66","58.9285714285714","4.64861789391376","65.3465346534654","4.73504302167663","365","1","41","36.6071428571429","4.5519142142453","40.5940594059406","4.88636036728975","12","60","total","101","14.929201139292","2.74362844323131"
